Query time cost (s),#Embeddings,,
0.063577,38721,,1
0.064449,25361,,2
0.008832,7671,,3
0.009053,18376,,4
0.011494,10621,,5
0.007343,7804,,6
0.00855,7343,,7
0.00792,10068,,8
0.064506,16697,,9
0.011197,9001,,10
0.008252,11301,,11
0.064471,10869,,12
0.008362,13921,,13
0.008065,5863,,14
0.006477,7994,,15
0.008492,20654,,16
0.014946,22849,,17
0.008093,5284,,18
0.008051,7708,,19
0.007409,5852,,20
0.00996,8092,,21
0.060523,11115,,22
0.070403,29258,,23
0.008255,9916,,24
0.006612,8220,,25
0.060491,7277,,26
0.0083,7828,,27
0.01263,28635,,28
0.008245,11427,,29
0.064357,7345,,30
0.064898,15314,,31
0.008029,13793,,32
0.015885,26523,,33
0.007377,7838,,34
0.006278,12371,,35
0.00722,9883,,36
0.008406,14522,,37
0.007943,10492,,38
0.008686,12346,,39
0.008157,15758,,40
0.006595,11787,,41
0.059091,5964,,42
0.011132,26123,,43
0.008582,11694,,44
0.012272,25577,,45
0.009955,19501,,46
0.006749,13206,,47
0.008607,13668,,48
0.009325,26183,,49
0.010162,4696,,50
0.007939,11759,,51
0.009065,5765,,52
0.007229,5273,,53
0.007828,17244,,54
0.009723,6959,,55
0.011639,28184,,56
0.06067,7834,,57
0.00751,10508,,58
0.010269,20019,,59
0.009104,12863,,60
0.008153,10318,,61
0.007785,13336,,62
0.065095,12855,,63
0.008189,7744,,64
0.012759,24043,,65
0.008178,7604,,66
0.008257,12136,,67
0.007418,15138,,68
0.00809,19124,,69
0.061869,14364,,70
0.064442,22944,,71
0.007826,6099,,72
0.00742,12443,,73
0.00724,10468,,74
0.008944,14890,,75
0.065397,19548,,76
0.008084,15381,,77
0.009736,12154,,78
0.008791,6721,,79
0.071521,9744,,80
0.008761,11127,,81
0.006849,6226,,82
0.008988,12971,,83
0.008811,12971,,84
0.064167,11129,,85
0.008238,16466,,86
0.012243,26077,,87
0.011554,6627,,88
0.008176,8930,,89
0.007846,16127,,90
0.008787,8072,,91
0.009962,11260,,92
0.007893,19246,,93
0.008448,8852,,94
0.010504,10112,,95
0.011657,23622,,96
0.008558,5587,,97
0.006558,5000,,98
0.006879,8896,,99
0.01598,30912,,100
0.059975,25154,,101
0.01063,7260,,102
0.010683,7771,,103
0.007557,6660,,104
0.007971,14820,,105
0.061296,5295,,106
0.006906,3850,,107
0.008414,12110,,108
0.007111,11344,,109
0.067869,12319,,110
0.006943,14479,,111
0.009519,8154,,112
0.064095,18081,,113
0.008084,6477,,114
0.007781,11370,,115
0.008938,12679,,116
0.059045,3361,,117
0.006594,8964,,118
0.0139,26324,,119
0.008732,6254,,120
0.008458,11860,,121
0.008585,18143,,122
0.00857,11036,,123
0.009048,8747,,124
0.008869,8632,,125
0.069984,26731,,126
0.00854,6586,,127
0.069871,36456,,128
0.060941,9764,,129
0.01663,37151,,130
0.010552,12260,,131
0.064363,25085,,132
0.009485,8377,,133
0.009093,10047,,134
0.008253,9432,,135
0.063281,7338,,136
0.010101,5632,,137
0.009954,12250,,138
0.066565,7808,,139
0.066893,8141,,140
0.008501,10517,,141
0.009183,6915,,142
0.010129,11827,,143
0.010744,7605,,144
0.008715,12651,,145
0.070849,26384,,146
0.007416,7834,,147
0.008721,32881,,148
0.010692,10465,,149
0.00742,9816,,150
0.012879,23091,,151
0.006049,3884,,152
0.064002,6306,,153
0.067152,13319,,154
0.009793,14961,,155
0.063982,4317,,156
0.010341,14573,,157
0.061163,10011,,158
0.008513,9265,,159
0.059135,8776,,160
0.007237,5947,,161
0.007613,3840,,162
0.012465,31975,,163
0.007658,11676,,164
0.008365,11232,,165
0.007729,19108,,166
0.061704,7069,,167
0.071768,24016,,168
0.007425,8985,,169
0.012831,30808,,170
0.008032,5959,,171
0.007272,7276,,172
0.007516,4003,,173
0.011219,26218,,174
0.008587,20655,,175
0.008317,9916,,176
0.008364,9118,,177
0.007957,5513,,178
0.007238,9055,,179
0.067794,11498,,180
0.005949,6048,,181
0.00739,10068,,182
0.008031,11611,,183
0.007097,17838,,184
0.007592,5856,,185
0.007142,9748,,186
0.008647,11240,,187
0.008071,9965,,188
0.008164,9664,,189
0.00727,8693,,190
0.007917,12227,,191
0.007637,5389,,192
0.011867,27462,,193
0.060049,11363,,194
0.010353,28360,,195
0.006762,7792,,196
0.006651,7602,,197
0.006635,7366,,198
0.007043,4060,,199
0.012296,9509,,200
