Query time cost (s),#Embeddings,,
0.000643,10312,,1
0.478042,14712360,,2
0.195266,8029806,,3
0.006518,76998,,4
0.022376,1171646,,5
0.113827,4384154,,6
0.000141,3,,7
0.071933,2207313,,8
0.061167,160730,,9
0.121879,12830306,,10
0.002203,74033,,11
0.010253,1171646,,12
0.00028,700,,13
0.179431,5862948,,14
0.77476,37011858,,15
0.02626,3377434,,16
0.003361,20031,,17
0.015339,470710,,18
0.000874,45396,,19
0.79029,29526264,,20
0.118168,4962314,,21
0.006496,82008,,22
0.003402,89069,,23
0.091204,3043632,,24
0.405019,14712360,,25
0.003875,223068,,26
0.089656,4962314,,27
0.104617,6147120,,28
0.068418,268728,,29
0.321864,14712360,,30
0.0001,228,,31
0.006924,218208,,32
0.17504,6569856,,33
0.000368,8053,,34
0.090307,2011536,,35
0.10155,4799746,,36
0.109417,6569856,,37
1.510534,86860572,,38
0.50163,42554404,,39
0.018373,786300,,40
0.084314,2338356,,41
0.404845,15933640,,42
0.000331,2605,,43
0.200842,8804922,,44
0.271992,16195210,,45
0.06002,506122,,46
0.288105,10752024,,47
0.02782,1958496,,48
0.003302,122550,,49
0.485005,46484981,,50
0.089936,2061680,,51
0.000904,19520,,52
0.197968,8804922,,53
0.214244,8804922,,54
0.018019,1629057,,55
0.003451,164978,,56
0.000667,10728,,57
0.000295,736,,58
0.000794,17004,,59
0.116753,5862948,,60
0.020483,1547694,,61
0.298346,15933640,,62
0.912954,37011858,,63
0.39389,14712360,,64
0.184939,8029806,,65
0.369053,15933640,,66
0.09192,3043632,,67
0.808907,29526264,,68
0.095187,3043632,,69
0.01716,1885757,,70
1.610104,83334264,,71
0.025141,1653696,,72
0.002388,79262,,73
0.067839,937568,,74
0.087305,2114562,,75
0.179503,6825724,,76
0.076219,1629354,,77
0.097762,3043632,,78
0.00298,91794,,79
0.000324,2242,,80
0.115511,6147120,,81
0.068303,451730,,82
0.00103,2360,,83
0.000271,736,,84
0.000275,1296,,85
0.099502,1817064,,86
0.177133,5862948,,87
0.012931,447738,,88
0.083533,1067570,,89
0.094107,3043632,,90
0.000816,16720,,91
0.101068,3870430,,92
0.00014,129,,93
0.072654,1316418,,94
0.030028,2378718,,95
0.086605,2297596,,96
0.123065,5862948,,97
0.071711,1952660,,98
0.003359,339886,,99
0.274264,11382648,,100
0.019782,662552,,101
0.017851,1202024,,102
0.078215,1653696,,103
0.080499,149150,,104
0.869838,29526264,,105
0.021622,1056980,,106
0.681895,37011858,,107
0.185223,8804922,,108
0.808216,37011858,,109
0.049987,2297596,,110
0.001492,60200,,111
0.003718,122550,,112
0.011816,412457,,113
0.298338,15933640,,114
0.001146,26644,,115
1.831581,83334264,,116
0.09698,1653696,,117
0.094271,6026368,,118
0.982948,106525444,,119
0.064963,278052,,120
0.127125,8029806,,121
0.016901,649382,,122
0.171594,5862948,,123
0.303161,15933640,,124
0.101225,3579108,,125
0.006412,426385,,126
0.286821,15933640,,127
0.000352,3996,,128
0.297498,14712360,,129
0.124252,5862948,,130
0.793074,37011858,,131
1.715877,83334264,,132
0.186545,6147120,,133
0.627787,33121220,,134
0.006661,178632,,135
0.28151,10752024,,136
0.278559,8804922,,137
0.001896,44706,,138
0.07668,2297596,,139
0.006402,636904,,140
0.000636,35868,,141
0.089789,3468378,,142
0.000357,8436,,143
0.511103,42554404,,144
0.88131,37011858,,145
0.093893,5853204,,146
0.667152,29526264,,147
0.000382,7281,,148
0.099872,4799746,,149
0.599711,33121220,,150
0.003111,65280,,151
0.011865,1001054,,152
0.373622,15933640,,153
0.111003,5862948,,154
2.012354,83334264,,155
1.290737,106525444,,156
0.114232,4799746,,157
0.015387,454022,,158
0.067235,1582994,,159
0.857362,37011858,,160
0.101732,3468378,,161
0.001745,66023,,162
0.011553,223068,,163
0.015041,253518,,164
0.402996,15933640,,165
0.174557,4799746,,166
0.261423,18336919,,167
0.004191,74796,,168
0.016105,695532,,169
0.180376,5862948,,170
0.399295,15933640,,171
0.117319,5862948,,172
0.388656,14712360,,173
0.11161,4799746,,174
1.8113,83334264,,175
0.005887,148326,,176
0.96786,37011858,,177
0.385866,15933640,,178
0.069581,3468378,,179
0.080885,2114562,,180
0.000952,19092,,181
0.005981,297888,,182
0.001332,17682,,183
0.099599,2237328,,184
0.272435,11738800,,185
0.407237,42554404,,186
0.127293,12830306,,187
0.10038,6026368,,188
0.102078,3468378,,189
0.017439,1198116,,190
0.083169,5184166,,191
0.293271,15933640,,192
0.809226,29526264,,193
0.09202,3123566,,194
0.077239,641736,,195
0.003876,97184,,196
0.002943,126556,,197
0.79821,37011858,,198
0.008848,179538,,199
1.117026,37011858,,200
