Query time cost (s),#Embeddings,,
0.010986,278587,,1
0.007854,23765,,2
0.024608,286641,,3
0.016913,270372,,4
0.074565,290888,,5
0.013057,259615,,6
0.065183,40339,,7
0.010563,205547,,8
0.017306,388154,,9
0.011643,359399,,10
0.080755,342307,,11
0.080555,390850,,12
0.066462,281145,,13
0.014092,299454,,14
0.058583,28286,,15
0.078386,269169,,16
0.01462,380480,,17
0.02566,509214,,18
0.021388,380478,,19
0.021786,456070,,20
0.020481,333735,,21
0.022825,388806,,22
0.018755,12384,,23
0.008549,24940,,24
0.065422,336343,,25
0.077796,383945,,26
0.072196,253398,,27
0.006644,15875,,28
0.016529,287046,,29
0.008244,48140,,30
0.022581,980025,,31
0.084314,2792751,,32
0.008195,24653,,33
0.072365,1353095,,34
0.020029,272652,,35
0.009214,30789,,36
0.090399,2652898,,37
0.006571,64910,,38
0.072578,310874,,39
0.025252,931487,,40
0.094416,1307374,,41
0.070282,254218,,42
0.017729,884768,,43
0.088592,2081000,,44
0.068155,195764,,45
0.075566,493168,,46
0.18845,2259733,,47
0.019438,218036,,48
0.007131,13438,,49
0.00829,26943,,50
0.095733,3429871,,51
0.007268,17168,,52
0.024052,89036,,53
0.021343,2587319,,54
0.079772,295617,,55
0.00605,1247,,56
0.080584,1253470,,57
0.018726,147502,,58
0.027098,477133,,59
0.108458,1156420,,60
0.021885,225726,,61
0.019622,367546,,62
0.024048,4155,,63
0.019558,378639,,64
0.020835,292343,,65
0.107917,1312794,,66
0.014992,574550,,67
0.007633,31788,,68
0.01863,206889,,69
0.018228,210977,,70
0.020865,226550,,71
0.007842,20540,,72
0.098213,966354,,73
0.034421,2519356,,74
0.008972,1331,,75
0.018454,8121,,76
0.008311,41725,,77
0.066024,76644,,78
0.07097,383642,,79
0.073194,276293,,80
0.085239,777763,,81
0.072856,283542,,82
0.074488,329865,,83
0.019942,318008,,84
0.064599,28196,,85
0.030459,1487255,,86
0.011791,450570,,87
0.203595,4011416,,88
0.100005,1126870,,89
0.081038,397662,,90
0.064178,326397,,91
0.00734,43192,,92
0.026924,532579,,93
0.018151,207628,,94
0.084967,1072955,,95
0.007536,965,,96
0.082336,333670,,97
0.008208,3383,,98
0.07036,206759,,99
0.008633,8254,,100
0.079769,679436,,101
0.07585,311356,,102
0.015923,8432,,103
0.009461,37871,,104
0.127839,2285202,,105
0.080041,317898,,106
0.019801,519028,,107
0.021325,275658,,108
0.015516,264669,,109
0.074341,379204,,110
0.069528,303076,,111
0.021217,400944,,112
0.077522,477722,,113
0.078987,481499,,114
0.020202,298394,,115
0.063277,13063,,116
0.101108,2061691,,117
0.010625,48644,,118
0.084157,477786,,119
0.040806,1056579,,120
0.01276,178669,,121
0.020064,323513,,122
0.08597,1015555,,123
0.018195,356252,,124
0.02976,596797,,125
0.008981,84095,,126
0.069945,194963,,127
0.018843,12916,,128
0.015265,11490,,129
0.020405,401608,,130
0.016519,884220,,131
0.206143,293939,,132
0.133375,2180131,,133
0.019087,248357,,134
0.00638,17345,,135
0.090101,1226066,,136
0.113686,4170297,,137
0.065278,54945,,138
0.017063,345807,,139
0.029469,1305592,,140
0.02594,473389,,141
0.019899,204761,,142
0.081406,449331,,143
0.082945,469889,,144
0.071904,271008,,145
0.018813,206757,,146
0.072274,254073,,147
0.015491,254843,,148
0.027617,314491,,149
0.015519,181812,,150
0.019589,241591,,151
0.02618,868391,,152
0.018936,342742,,153
0.023606,304920,,154
0.082908,533789,,155
0.016488,402556,,156
0.008224,5491,,157
0.068632,312408,,158
0.06948,344595,,159
0.020109,388007,,160
0.018974,386479,,161
0.083202,1370527,,162
0.191199,2070535,,163
0.01391,228959,,164
0.018814,1001795,,165
0.09186,874968,,166
0.007977,33317,,167
0.093576,453923,,168
0.011483,271989,,169
0.012588,5264,,170
0.108064,2068664,,171
0.015039,317333,,172
0.021308,385937,,173
0.078158,1882174,,174
0.078064,201464,,175
0.094421,22248,,176
0.007728,15524,,177
0.008462,32166,,178
0.011102,385563,,179
0.022764,307674,,180
0.073004,305114,,181
0.024821,521398,,182
0.079734,553193,,183
0.066508,312380,,184
0.021384,381388,,185
0.068337,18592,,186
0.029421,418209,,187
0.06955,309453,,188
0.021923,443025,,189
0.067889,327757,,190
0.00773,13354,,191
0.133981,2285392,,192
0.016143,11140,,193
0.02093,245434,,194
0.216838,3477326,,195
0.075221,652487,,196
0.011306,6389,,197
0.020938,221382,,198
0.074985,387562,,199
0.008145,1467,,200
